,amusement,excitement,joy,love,desire,optimism,caring,pride,admiration,gratitude,relief,approval,realization,surprise,curiosity,confusion,fear,nervousness,remorse,embarrassment,disappointment,sadness,grief,disgust,anger,annoyance,disapproval,neutral
amusement,418,49,107,28,14,5,4,5,20,2,10,19,6,31,13,6,21,4,2,4,23,17,1,23,6,77,21,8
excitement,49,99,51,7,12,5,1,6,8,1,2,6,0,6,5,0,2,0,0,1,0,0,0,2,0,3,0,0
joy,107,51,241,76,15,19,22,18,44,20,22,26,9,8,2,1,0,0,0,1,2,13,4,0,0,1,0,1
love,28,7,76,185,22,27,59,31,15,24,6,6,9,0,0,2,3,0,4,3,5,40,13,1,2,1,1,0
desire,14,12,15,22,99,14,28,1,2,5,2,0,0,0,12,1,2,5,8,1,7,20,6,1,6,5,4,1
optimism,5,5,19,27,14,161,65,19,8,25,27,17,28,0,1,1,3,3,3,2,2,11,2,0,0,0,3,3
caring,4,1,22,59,28,65,176,1,5,18,11,9,11,0,9,1,1,6,2,0,3,63,27,0,5,5,8,3
pride,5,6,18,31,1,19,1,84,15,4,2,5,0,0,2,1,2,2,0,1,0,0,0,0,0,0,0,1
admiration,20,8,44,15,2,8,5,15,105,10,6,28,4,6,2,0,0,0,0,2,2,4,3,1,1,0,0,0
gratitude,2,1,20,24,5,25,18,4,10,114,31,11,11,0,0,0,1,4,0,0,1,5,1,1,3,1,1,1
relief,10,2,22,6,2,27,11,2,6,31,81,6,11,0,0,0,2,5,0,0,3,4,1,0,1,2,0,4
approval,19,6,26,6,0,17,9,5,28,11,6,127,4,0,2,2,1,1,0,2,5,2,0,1,2,2,4,1
realization,6,0,9,9,0,28,11,0,4,11,11,4,88,2,1,3,4,2,4,0,10,19,2,1,0,0,5,9
surprise,31,6,8,0,0,0,0,0,6,0,0,0,2,93,15,17,12,2,0,4,10,4,0,8,1,17,1,3
curiosity,13,5,2,0,12,1,9,2,2,0,0,2,1,15,107,26,1,3,0,1,2,6,1,2,1,15,1,4
confusion,6,0,1,2,1,1,1,1,0,0,0,2,3,17,26,93,3,11,5,6,15,17,0,2,0,30,5,2
fear,21,2,0,3,2,3,1,2,0,1,2,1,4,12,1,3,110,52,2,8,8,30,4,30,7,20,0,0
nervousness,4,0,0,0,5,3,6,2,0,4,5,1,2,2,3,11,52,94,3,19,8,34,2,2,0,12,0,2
remorse,2,0,0,4,8,3,2,0,0,0,0,0,4,0,0,5,2,3,83,3,23,51,18,1,1,1,1,0
embarrassment,4,1,1,3,1,2,0,1,2,0,0,2,0,4,1,6,8,19,3,111,7,57,1,3,1,4,0,0
disappointment,23,0,2,5,7,2,3,0,2,1,3,5,10,10,2,15,8,8,23,7,231,155,35,9,11,70,10,6
sadness,17,0,13,40,20,11,63,0,4,5,4,2,19,4,6,17,30,34,51,57,155,439,116,7,12,37,4,1
grief,1,0,4,13,6,2,27,0,3,1,1,0,2,0,1,0,4,2,18,1,35,116,119,6,12,0,0,0
disgust,23,2,0,1,1,0,0,0,1,1,0,1,1,8,2,2,30,2,1,3,9,7,6,164,72,61,17,0
anger,6,0,0,2,6,0,5,0,1,3,1,2,0,1,1,0,7,0,1,1,11,12,12,72,202,112,41,0
annoyance,77,3,1,1,5,0,5,0,0,1,2,2,0,17,15,30,20,12,1,4,70,37,0,61,112,391,77,12
disapproval,21,0,0,1,4,3,8,0,0,1,0,4,5,1,1,5,0,0,1,0,10,4,0,17,41,77,126,10
neutral,8,0,1,0,1,3,3,1,0,1,4,1,9,3,4,2,0,2,0,0,6,1,0,0,0,12,10,95
