,amusement,excitement,joy,love,desire,optimism,caring,pride,admiration,gratitude,relief,approval,realization,surprise,curiosity,confusion,fear,nervousness,remorse,embarrassment,disappointment,sadness,grief,disgust,anger,annoyance,disapproval,neutral
amusement,425,53,89,29,11,7,5,8,17,1,8,24,9,34,14,9,21,10,2,7,21,13,4,26,11,83,24,8
excitement,53,103,47,6,13,11,1,6,14,2,1,10,0,5,4,1,1,0,0,0,1,0,0,2,0,1,0,1
joy,89,47,214,62,12,29,23,16,46,19,24,28,10,5,2,2,0,0,0,2,2,13,1,0,0,0,0,0
love,29,6,62,162,20,23,55,25,12,21,3,3,3,0,0,1,2,0,7,1,5,33,8,0,0,1,0,0
desire,11,13,12,20,95,17,28,0,3,4,0,0,0,0,11,0,1,1,5,1,10,24,6,0,2,3,2,2
optimism,7,11,29,23,17,172,77,20,10,24,22,17,31,0,1,1,4,3,1,2,2,11,3,0,1,0,4,4
caring,5,1,23,55,28,77,185,2,3,22,10,6,11,0,9,1,1,4,4,0,7,60,26,0,4,2,7,5
pride,8,6,16,25,0,20,2,78,10,2,1,3,2,0,1,1,1,1,0,2,0,1,0,0,0,0,0,1
admiration,17,14,46,12,3,10,3,10,112,16,5,34,5,5,3,2,0,0,0,0,2,5,1,0,1,1,2,0
gratitude,1,2,19,21,4,24,22,2,16,112,28,7,9,0,0,0,3,6,4,0,1,7,0,1,2,1,0,0
relief,8,1,24,3,0,22,10,1,5,28,77,4,9,0,0,0,3,7,4,0,2,10,1,0,2,0,1,2
approval,24,10,28,3,0,17,6,3,34,7,4,136,11,0,1,2,1,1,0,2,4,2,0,1,2,2,4,2
realization,9,0,10,3,0,31,11,2,5,9,9,11,104,6,2,5,4,1,9,1,12,19,1,0,1,2,3,13
surprise,34,5,5,0,0,0,0,0,5,0,0,0,6,105,20,18,17,1,0,5,9,5,1,10,4,19,2,3
curiosity,14,4,2,0,11,1,9,1,3,0,0,1,2,20,107,27,1,3,0,1,1,5,1,2,1,13,0,6
confusion,9,1,2,1,0,1,1,1,2,0,0,2,5,18,27,87,3,12,4,6,18,16,3,2,0,25,4,2
fear,21,1,0,2,1,4,1,1,0,3,3,1,4,17,1,3,117,51,3,6,9,36,8,32,18,24,2,0
nervousness,10,0,0,0,1,3,4,1,0,6,7,1,1,1,3,12,51,95,3,18,9,35,2,0,3,15,2,1
remorse,2,0,0,7,5,1,4,0,0,4,4,0,9,0,0,4,3,3,92,4,20,60,16,1,3,0,0,0
embarrassment,7,0,2,1,1,2,0,2,0,0,0,2,1,5,1,6,6,18,4,118,12,58,0,1,0,3,0,0
disappointment,21,1,2,5,10,2,7,0,2,1,2,4,12,9,1,18,9,9,20,12,231,157,32,6,14,66,10,5
sadness,13,0,13,33,24,11,60,1,5,7,10,2,19,5,5,16,36,35,60,58,157,451,124,11,19,37,4,4
grief,4,0,1,8,6,3,26,0,1,0,1,0,1,1,1,3,8,2,16,0,32,124,128,6,18,7,1,0
disgust,26,2,0,0,0,0,0,0,0,1,0,1,0,10,2,2,32,0,1,1,6,11,6,159,75,72,18,0
anger,11,0,0,0,2,1,4,0,1,2,2,2,1,4,1,0,18,3,3,0,14,19,18,75,225,135,46,0
annoyance,83,1,0,1,3,0,2,0,1,1,0,2,2,19,13,25,24,15,0,3,66,37,7,72,135,400,84,14
disapproval,24,0,0,0,2,4,7,0,2,0,1,4,3,2,0,4,2,2,0,0,10,4,1,18,46,84,131,9
neutral,8,1,0,0,2,4,5,1,0,0,2,2,13,3,6,2,0,1,0,0,5,4,0,0,0,14,9,103
