class,precision,recall,f1,support
disapproval,0.32061068702290074,0.375,0.345679012345679,112.0
neutral,0.4563106796116505,0.4051724137931034,0.4292237442922374,116.0
realization,0.4423076923076923,0.4842105263157895,0.4623115577889447,95.0
disgust,0.4591194968553459,0.5177304964539007,0.4866666666666667,141.0
nervousness,0.49473684210526314,0.4895833333333333,0.49214659685863876,96.0
disappointment,0.46320346320346323,0.5431472081218274,0.5,197.0
desire,0.4631578947368421,0.55,0.5028571428571429,80.0
surprise,0.47619047619047616,0.5882352941176471,0.5263157894736842,85.0
confusion,0.5172413793103449,0.5357142857142857,0.5263157894736842,84.0
excitement,0.5242718446601942,0.5510204081632653,0.5373134328358209,98.0
admiration,0.5267857142857143,0.5841584158415841,0.5539906103286385,101.0
relief,0.5064935064935064,0.65,0.5693430656934306,60.0
approval,0.5588235294117647,0.6608695652173913,0.6055776892430279,115.0
grief,0.5234375,0.7790697674418605,0.6261682242990654,86.0
anger,0.5777777777777777,0.6878306878306878,0.6280193236714976,189.0
annoyance,0.5925,0.6909620991253644,0.6379542395693136,343.0
caring,0.5837837837837838,0.72,0.6447761194029851,150.0
joy,0.6308411214953271,0.6617647058823529,0.645933014354067,204.0
optimism,0.6162790697674418,0.7464788732394366,0.6751592356687898,142.0
curiosity,0.6542056074766355,0.7,0.6763285024154589,100.0
fear,0.6410256410256411,0.7653061224489796,0.6976744186046512,98.0
love,0.6604938271604939,0.7482517482517482,0.7016393442622951,143.0
pride,0.7692307692307693,0.6976744186046512,0.7317073170731707,86.0
sadness,0.6496674057649667,0.8492753623188406,0.7361809045226131,345.0
remorse,0.7282608695652174,0.7701149425287356,0.7486033519553073,87.0
amusement,0.7082352941176471,0.8048128342245989,0.753441802252816,374.0
embarrassment,0.7796610169491526,0.8598130841121495,0.8177777777777778,107.0
gratitude,0.8482142857142857,0.8796296296296297,0.8636363636363636,108.0
