class,precision,recall,f1-score,support
amusement,0.720873786407767,0.7941176470588235,0.7557251908396947,374.0
excitement,0.5813953488372093,0.5102040816326531,0.5434782608695652,98.0
joy,0.6081081081081081,0.6617647058823529,0.6338028169014085,204.0
love,0.6503067484662577,0.7412587412587412,0.6928104575163399,143.0
desire,0.4883720930232558,0.525,0.5060240963855421,80.0
optimism,0.6441717791411042,0.7394366197183099,0.6885245901639344,142.0
caring,0.6242774566473989,0.72,0.6687306501547987,150.0
pride,0.7,0.7325581395348837,0.7159090909090909,86.0
admiration,0.4793388429752066,0.5742574257425742,0.5225225225225225,101.0
gratitude,0.8434782608695652,0.8981481481481481,0.8699551569506726,108.0
relief,0.5061728395061729,0.6833333333333333,0.5815602836879432,60.0
approval,0.6136363636363636,0.7043478260869566,0.6558704453441295,115.0
realization,0.4351851851851852,0.49473684210526314,0.4630541871921182,95.0
surprise,0.5137614678899083,0.6588235294117647,0.5773195876288659,85.0
curiosity,0.6153846153846154,0.72,0.663594470046083,100.0
confusion,0.4948453608247423,0.5714285714285714,0.5303867403314917,84.0
fear,0.6696428571428571,0.7653061224489796,0.7142857142857143,98.0
nervousness,0.48,0.5,0.4897959183673469,96.0
remorse,0.6633663366336634,0.7701149425287356,0.7127659574468085,87.0
embarrassment,0.7401574803149606,0.8785046728971962,0.8034188034188035,107.0
disappointment,0.507537688442211,0.5126903553299492,0.51010101010101,197.0
sadness,0.6548463356973995,0.8028985507246377,0.7213541666666666,345.0
grief,0.5726495726495726,0.7790697674418605,0.6600985221674877,86.0
disgust,0.41379310344827586,0.5957446808510638,0.4883720930232558,141.0
anger,0.5584415584415584,0.6825396825396826,0.6142857142857143,189.0
annoyance,0.5524017467248908,0.7376093294460642,0.6317103620474407,343.0
disapproval,0.3233082706766917,0.38392857142857145,0.3510204081632653,112.0
neutral,0.46153846153846156,0.46551724137931033,0.463519313304721,116.0
micro avg,0.5870322019147084,0.6844241501775749,0.6319981260248302,3942.0
macro avg,0.5756068453076215,0.6644049831556582,0.6153570189543727,3942.0
weighted avg,0.5894122321558052,0.6844241501775749,0.6319799388463737,3942.0
samples avg,0.6218708963991982,0.7012175455571681,0.6289798950176309,3942.0
