class,precision,recall,f1-score,support
amusement,0.8063583815028902,0.7459893048128342,0.775,374.0
excitement,0.5714285714285714,0.5306122448979592,0.5502645502645502,98.0
joy,0.72,0.5294117647058824,0.6101694915254238,204.0
love,0.7225806451612903,0.7832167832167832,0.7516778523489933,143.0
desire,0.49,0.6125,0.5444444444444444,80.0
optimism,0.6792452830188679,0.7605633802816901,0.717607973421927,142.0
caring,0.5833333333333334,0.7466666666666667,0.6549707602339181,150.0
pride,0.8484848484848485,0.6511627906976745,0.7368421052631579,86.0
admiration,0.6712328767123288,0.48514851485148514,0.5632183908045977,101.0
gratitude,0.9263157894736842,0.8148148148148148,0.8669950738916257,108.0
relief,0.6274509803921569,0.5333333333333333,0.5765765765765766,60.0
approval,0.6363636363636364,0.6695652173913044,0.652542372881356,115.0
realization,0.38405797101449274,0.5578947368421052,0.45493562231759654,95.0
surprise,0.6617647058823529,0.5294117647058824,0.5882352941176471,85.0
curiosity,0.6,0.81,0.6893617021276596,100.0
confusion,0.4935064935064935,0.4523809523809524,0.4720496894409938,84.0
fear,0.7948717948717948,0.6326530612244898,0.7045454545454546,98.0
nervousness,0.5238095238095238,0.4583333333333333,0.4888888888888889,96.0
remorse,0.8208955223880597,0.632183908045977,0.7142857142857143,87.0
embarrassment,0.7560975609756098,0.8691588785046729,0.808695652173913,107.0
disappointment,0.444015444015444,0.583756345177665,0.5043859649122807,197.0
sadness,0.7344632768361582,0.7536231884057971,0.7439198855507868,345.0
grief,0.7466666666666667,0.6511627906976745,0.6956521739130435,86.0
disgust,0.4027777777777778,0.6170212765957447,0.48739495798319327,141.0
anger,0.6108374384236454,0.656084656084656,0.6326530612244898,189.0
annoyance,0.5616740088105727,0.7434402332361516,0.6398996235884568,343.0
disapproval,0.35467980295566504,0.6428571428571429,0.45714285714285713,112.0
neutral,0.371900826446281,0.3879310344827586,0.379746835443038,116.0
micro avg,0.6128349788434415,0.6613394216133942,0.6361639824304539,3942.0
macro avg,0.6266004700090052,0.6371742185087653,0.6236465346183065,3942.0
weighted avg,0.6367584010486077,0.6613394216133942,0.641374927178718,3942.0
samples avg,0.6379616190936945,0.6801644895984518,0.6266285775719739,3942.0
