class,precision,recall,f1-score,support
amusement,0.8101983002832861,0.7647058823529411,0.7867950481430537,374.0
excitement,0.6527777777777778,0.47959183673469385,0.5529411764705883,98.0
joy,0.7551020408163265,0.5441176470588235,0.6324786324786325,204.0
love,0.71875,0.8041958041958042,0.759075907590759,143.0
desire,0.38095238095238093,0.7,0.4933920704845815,80.0
optimism,0.723404255319149,0.7183098591549296,0.7208480565371025,142.0
caring,0.6111111111111112,0.7333333333333333,0.6666666666666666,150.0
pride,0.8888888888888888,0.5581395348837209,0.6857142857142857,86.0
admiration,0.56,0.693069306930693,0.6194690265486725,101.0
gratitude,0.8857142857142857,0.8611111111111112,0.8732394366197183,108.0
relief,0.5818181818181818,0.5333333333333333,0.5565217391304348,60.0
approval,0.6607142857142857,0.6434782608695652,0.6519823788546255,115.0
realization,0.47126436781609193,0.43157894736842106,0.45054945054945056,95.0
surprise,0.6144578313253012,0.6,0.6071428571428571,85.0
curiosity,0.6333333333333333,0.76,0.6909090909090909,100.0
confusion,0.42592592592592593,0.5476190476190477,0.4791666666666667,84.0
fear,0.6947368421052632,0.673469387755102,0.6839378238341969,98.0
nervousness,0.49557522123893805,0.5833333333333334,0.5358851674641149,96.0
remorse,0.6868686868686869,0.7816091954022989,0.7311827956989247,87.0
embarrassment,0.8829787234042553,0.7757009345794392,0.8258706467661692,107.0
disappointment,0.4534412955465587,0.5685279187817259,0.5045045045045045,197.0
sadness,0.6644295302013423,0.8608695652173913,0.75,345.0
grief,0.725,0.6744186046511628,0.6987951807228916,86.0
disgust,0.4720496894409938,0.5390070921985816,0.5033112582781457,141.0
anger,0.6410256410256411,0.6613756613756614,0.6510416666666666,189.0
annoyance,0.5622317596566524,0.7638483965014577,0.6477132262051916,343.0
disapproval,0.3605769230769231,0.6696428571428571,0.46875,112.0
neutral,0.44144144144144143,0.4224137931034483,0.43171806167400884,116.0
micro avg,0.6151202749140894,0.6811263318112634,0.6464427591188154,3942.0
macro avg,0.6233845971715365,0.6552428801781742,0.6307001007972142,3942.0
weighted avg,0.6360450785452284,0.6811263318112634,0.650245172040421,3942.0
samples avg,0.6394717441887253,0.6985002418964683,0.6360027812858001,3942.0
