class,precision,recall,f1-score,support
amusement,0.7717391304347826,0.7593582887700535,0.7654986522911051,374.0
excitement,0.5523809523809524,0.5918367346938775,0.5714285714285714,98.0
joy,0.6666666666666666,0.5784313725490197,0.6194225721784777,204.0
love,0.7018633540372671,0.7902097902097902,0.743421052631579,143.0
desire,0.5357142857142857,0.5625,0.5487804878048781,80.0
optimism,0.6388888888888888,0.8098591549295775,0.7142857142857143,142.0
caring,0.6582278481012658,0.6933333333333334,0.6753246753246753,150.0
pride,0.835820895522388,0.6511627906976745,0.7320261437908496,86.0
admiration,0.4934210526315789,0.7425742574257426,0.5928853754940712,101.0
gratitude,0.9340659340659341,0.7870370370370371,0.8542713567839196,108.0
relief,0.6111111111111112,0.55,0.5789473684210527,60.0
approval,0.6666666666666666,0.6956521739130435,0.6808510638297872,115.0
realization,0.45454545454545453,0.5263157894736842,0.4878048780487805,95.0
surprise,0.6527777777777778,0.5529411764705883,0.5987261146496815,85.0
curiosity,0.6608695652173913,0.76,0.7069767441860465,100.0
confusion,0.4772727272727273,0.5,0.4883720930232558,84.0
fear,0.6517857142857143,0.7448979591836735,0.6952380952380952,98.0
nervousness,0.639344262295082,0.40625,0.4968152866242038,96.0
remorse,0.6701030927835051,0.7471264367816092,0.7065217391304348,87.0
embarrassment,0.7364341085271318,0.8878504672897196,0.8050847457627118,107.0
disappointment,0.4404332129963899,0.6192893401015228,0.5147679324894515,197.0
sadness,0.7193460490463215,0.7652173913043478,0.7415730337078652,345.0
grief,0.6018518518518519,0.7558139534883721,0.6701030927835051,86.0
disgust,0.405982905982906,0.6737588652482269,0.5066666666666667,141.0
anger,0.5436507936507936,0.7248677248677249,0.6213151927437641,189.0
annoyance,0.5540838852097131,0.7317784256559767,0.6306532663316583,343.0
disapproval,0.3655913978494624,0.6071428571428571,0.4563758389261745,112.0
neutral,0.42857142857142855,0.41379310344827586,0.42105263157894735,116.0
micro avg,0.6020044543429844,0.6856925418569254,0.6411290322580645,3942.0
macro avg,0.60961467907448,0.6653213722862761,0.6294710852198545,3942.0
weighted avg,0.6194752623378854,0.6856925418569254,0.6448863964696587,3942.0
samples avg,0.6319407008086253,0.7035397516529592,0.6354934024745346,3942.0
