class,precision,recall,f1-score,support
amusement,0.791907514450867,0.732620320855615,0.7611111111111111,374.0
excitement,0.5576923076923077,0.5918367346938775,0.5742574257425742,98.0
joy,0.6473684210526316,0.6029411764705882,0.6243654822335025,204.0
love,0.7225806451612903,0.7832167832167832,0.7516778523489933,143.0
desire,0.4537037037037037,0.6125,0.5212765957446809,80.0
optimism,0.650887573964497,0.7746478873239436,0.707395498392283,142.0
caring,0.6120218579234973,0.7466666666666667,0.6726726726726727,150.0
pride,0.782608695652174,0.627906976744186,0.6967741935483871,86.0
admiration,0.6666666666666666,0.5346534653465347,0.5934065934065934,101.0
gratitude,0.8135593220338984,0.8888888888888888,0.8495575221238938,108.0
relief,0.5373134328358209,0.6,0.5669291338582677,60.0
approval,0.627906976744186,0.7043478260869566,0.6639344262295082,115.0
realization,0.4051724137931034,0.49473684210526314,0.44549763033175355,95.0
surprise,0.6714285714285714,0.5529411764705883,0.6064516129032258,85.0
curiosity,0.7157894736842105,0.68,0.6974358974358974,100.0
confusion,0.49333333333333335,0.44047619047619047,0.46540880503144655,84.0
fear,0.7096774193548387,0.673469387755102,0.6910994764397905,98.0
nervousness,0.5844155844155844,0.46875,0.5202312138728323,96.0
remorse,0.6842105263157895,0.7471264367816092,0.7142857142857143,87.0
embarrassment,0.8936170212765957,0.7850467289719626,0.835820895522388,107.0
disappointment,0.4174757281553398,0.6548223350253807,0.5098814229249012,197.0
sadness,0.7041884816753927,0.7797101449275362,0.7400275103163686,345.0
grief,0.6559139784946236,0.7093023255813954,0.6815642458100558,86.0
disgust,0.384,0.6808510638297872,0.49104859335038364,141.0
anger,0.6704545454545454,0.6243386243386243,0.6465753424657534,189.0
annoyance,0.5681293302540416,0.717201166180758,0.634020618556701,343.0
disapproval,0.35294117647058826,0.5357142857142857,0.425531914893617,112.0
neutral,0.4329896907216495,0.3620689655172414,0.39436619718309857,116.0
micro avg,0.6075046040515654,0.6694571283612379,0.6369780352401642,3942.0
macro avg,0.6145697997396338,0.6466707999989202,0.6243787713834428,3942.0
weighted avg,0.6266244193258269,0.6694571283612379,0.6416702518593185,3942.0
samples avg,0.6343654249314628,0.6853410740203193,0.6285798757496871,3942.0
