class,precision,recall,f1-score,support
amusement,0.8035714285714286,0.7219251336898396,0.7605633802816901,374.0
excitement,0.5425531914893617,0.5204081632653061,0.53125,98.0
joy,0.6551724137931034,0.5588235294117647,0.6031746031746031,204.0
love,0.7278911564625851,0.7482517482517482,0.7379310344827587,143.0
desire,0.47474747474747475,0.5875,0.5251396648044693,80.0
optimism,0.6395348837209303,0.7746478873239436,0.7006369426751592,142.0
caring,0.6645569620253164,0.7,0.6818181818181818,150.0
pride,0.8620689655172413,0.5813953488372093,0.6944444444444444,86.0
admiration,0.5555555555555556,0.6435643564356436,0.5963302752293578,101.0
gratitude,0.875,0.8425925925925926,0.8584905660377359,108.0
relief,0.4868421052631579,0.6166666666666667,0.5441176470588235,60.0
approval,0.6601941747572816,0.591304347826087,0.6238532110091743,115.0
realization,0.37815126050420167,0.47368421052631576,0.4205607476635514,95.0
surprise,0.7121212121212122,0.5529411764705883,0.6225165562913907,85.0
curiosity,0.7352941176470589,0.75,0.7425742574257426,100.0
confusion,0.4166666666666667,0.35714285714285715,0.38461538461538464,84.0
fear,0.6090909090909091,0.6836734693877551,0.6442307692307693,98.0
nervousness,0.6415094339622641,0.3541666666666667,0.4563758389261745,96.0
remorse,0.6464646464646465,0.735632183908046,0.6881720430107527,87.0
embarrassment,0.8165137614678899,0.8317757009345794,0.8240740740740741,107.0
disappointment,0.43359375,0.5634517766497462,0.4900662251655629,197.0
sadness,0.6861702127659575,0.7478260869565218,0.7156726768377254,345.0
grief,0.7567567567567568,0.6511627906976745,0.7,86.0
disgust,0.4396135265700483,0.6453900709219859,0.5229885057471264,141.0
anger,0.5714285714285714,0.6349206349206349,0.6015037593984962,189.0
annoyance,0.5818639798488665,0.673469387755102,0.6243243243243243,343.0
disapproval,0.33766233766233766,0.4642857142857143,0.39097744360902253,112.0
neutral,0.4074074074074074,0.3793103448275862,0.39285714285714285,116.0
micro avg,0.6093975903614458,0.6415525114155252,0.625061789421651,3942.0
macro avg,0.611357030795294,0.6209254587983064,0.6099735607212012,3942.0
weighted avg,0.6244414235999622,0.6415525114155252,0.6278345479243141,3942.0
samples avg,0.6239235607160135,0.6627237542331882,0.6123044670214481,3942.0
