class,precision,recall,f1-score,support
amusement,0.8242811501597445,0.6898395721925134,0.7510917030567685,374.0
excitement,0.5192307692307693,0.5510204081632653,0.5346534653465347,98.0
joy,0.6428571428571429,0.5735294117647058,0.6062176165803109,204.0
love,0.6666666666666666,0.8111888111888111,0.7318611987381703,143.0
desire,0.5606060606060606,0.4625,0.5068493150684932,80.0
optimism,0.717391304347826,0.6971830985915493,0.7071428571428572,142.0
caring,0.6127167630057804,0.7066666666666667,0.6563467492260062,150.0
pride,0.8909090909090909,0.5697674418604651,0.6950354609929078,86.0
admiration,0.4864864864864865,0.7128712871287128,0.5783132530120482,101.0
gratitude,0.8288288288288288,0.8518518518518519,0.8401826484018264,108.0
relief,0.673469387755102,0.55,0.6055045871559633,60.0
approval,0.6578947368421053,0.6521739130434783,0.6550218340611353,115.0
realization,0.3709677419354839,0.4842105263157895,0.4200913242009132,95.0
surprise,0.6219512195121951,0.6,0.6107784431137725,85.0
curiosity,0.7142857142857143,0.75,0.7317073170731707,100.0
confusion,0.37623762376237624,0.4523809523809524,0.41081081081081083,84.0
fear,0.6435643564356436,0.6632653061224489,0.6532663316582915,98.0
nervousness,0.4528301886792453,0.5,0.4752475247524752,96.0
remorse,0.6470588235294118,0.7586206896551724,0.6984126984126984,87.0
embarrassment,0.8035714285714286,0.8411214953271028,0.821917808219178,107.0
disappointment,0.43824701195219123,0.5583756345177665,0.49107142857142855,197.0
sadness,0.6650246305418719,0.782608695652174,0.7190412782956058,345.0
grief,0.7794117647058824,0.6162790697674418,0.6883116883116883,86.0
disgust,0.40611353711790393,0.6595744680851063,0.5027027027027027,141.0
anger,0.5639810426540285,0.6296296296296297,0.595,189.0
annoyance,0.5625,0.7084548104956269,0.6270967741935484,343.0
disapproval,0.39473684210526316,0.4017857142857143,0.39823008849557523,112.0
neutral,0.3888888888888889,0.4224137931034483,0.4049586776859504,116.0
micro avg,0.5978589713753781,0.6516996448503298,0.6236193712829227,3942.0
macro avg,0.6039539000847547,0.6306183302782283,0.611316628045744,3942.0
weighted avg,0.6150352941146024,0.6516996448503298,0.6274709159343951,3942.0
samples avg,0.6096758587324624,0.6711175616835994,0.6061464740710024,3942.0
