class,precision,recall,f1-score,support
amusement,0.8018018018018018,0.713903743315508,0.7553041018387553,374.0
excitement,0.5425531914893617,0.5204081632653061,0.53125,98.0
joy,0.6705882352941176,0.5588235294117647,0.6096256684491979,204.0
love,0.7364864864864865,0.7622377622377622,0.7491408934707904,143.0
desire,0.5053763440860215,0.5875,0.5433526011560693,80.0
optimism,0.6706586826347305,0.7887323943661971,0.7249190938511327,142.0
caring,0.5759162303664922,0.7333333333333333,0.6451612903225806,150.0
pride,0.7916666666666666,0.6627906976744186,0.7215189873417721,86.0
admiration,0.5121951219512195,0.6237623762376238,0.5625,101.0
gratitude,0.8857142857142857,0.8611111111111112,0.8732394366197183,108.0
relief,0.4861111111111111,0.5833333333333334,0.5303030303030303,60.0
approval,0.6759259259259259,0.6347826086956522,0.6547085201793722,115.0
realization,0.42735042735042733,0.5263157894736842,0.4716981132075472,95.0
surprise,0.6811594202898551,0.5529411764705883,0.6103896103896104,85.0
curiosity,0.7222222222222222,0.65,0.6842105263157895,100.0
confusion,0.47619047619047616,0.35714285714285715,0.40816326530612246,84.0
fear,0.7191011235955056,0.6530612244897959,0.6844919786096256,98.0
nervousness,0.5569620253164557,0.4583333333333333,0.5028571428571429,96.0
remorse,0.7439024390243902,0.7011494252873564,0.7218934911242604,87.0
embarrassment,0.8764044943820225,0.7289719626168224,0.7959183673469388,107.0
disappointment,0.49038461538461536,0.5177664974619289,0.5037037037037037,197.0
sadness,0.6730769230769231,0.8115942028985508,0.735873850197109,345.0
grief,0.6421052631578947,0.7093023255813954,0.6740331491712708,86.0
disgust,0.4336734693877551,0.6028368794326241,0.5044510385756676,141.0
anger,0.6368421052631579,0.6402116402116402,0.6385224274406333,189.0
annoyance,0.5339805825242718,0.8017492711370262,0.6410256410256411,343.0
disapproval,0.334841628959276,0.6607142857142857,0.4444444444444444,112.0
neutral,0.44329896907216493,0.3706896551724138,0.40375586854460094,116.0
micro avg,0.6083410997204101,0.6623541349568747,0.634199659946563,3942.0
macro avg,0.6159460810259153,0.634767842121654,0.6188020086354473,3942.0
weighted avg,0.6266785748667947,0.6623541349568747,0.6371361835363178,3942.0
samples avg,0.6253588130946622,0.6792291565876472,0.6193129372374656,3942.0
