class,precision,recall,f1-score,support
amusement,0.8467153284671532,0.6203208556149733,0.7160493827160493,374.0
excitement,0.4473684210526316,0.5204081632653061,0.4811320754716981,98.0
joy,0.4874551971326165,0.6666666666666666,0.5631469979296067,204.0
love,0.6535947712418301,0.6993006993006993,0.6756756756756757,143.0
desire,0.33116883116883117,0.6375,0.4358974358974359,80.0
optimism,0.6756756756756757,0.704225352112676,0.6896551724137931,142.0
caring,0.6171875,0.5266666666666666,0.5683453237410072,150.0
pride,0.8253968253968254,0.6046511627906976,0.697986577181208,86.0
admiration,0.38562091503267976,0.5841584158415841,0.4645669291338583,101.0
gratitude,0.9540229885057471,0.7685185185185185,0.8512820512820513,108.0
relief,0.5185185185185185,0.4666666666666667,0.49122807017543857,60.0
approval,0.5798319327731093,0.6,0.5897435897435898,115.0
realization,0.25,0.3157894736842105,0.27906976744186046,95.0
surprise,0.43119266055045874,0.5529411764705883,0.4845360824742268,85.0
curiosity,0.6633663366336634,0.67,0.6666666666666666,100.0
confusion,0.3469387755102041,0.40476190476190477,0.37362637362637363,84.0
fear,0.6285714285714286,0.673469387755102,0.6502463054187192,98.0
nervousness,0.5172413793103449,0.46875,0.4918032786885246,96.0
remorse,0.6444444444444445,0.6666666666666666,0.655367231638418,87.0
embarrassment,0.9135802469135802,0.6915887850467289,0.7872340425531915,107.0
disappointment,0.3905109489051095,0.5431472081218274,0.4543524416135881,197.0
sadness,0.7,0.7507246376811594,0.7244755244755244,345.0
grief,0.5909090909090909,0.6046511627906976,0.5977011494252874,86.0
disgust,0.460431654676259,0.45390070921985815,0.45714285714285713,141.0
anger,0.5941176470588235,0.5343915343915344,0.5626740947075209,189.0
annoyance,0.5563725490196079,0.6618075801749271,0.6045272969374168,343.0
disapproval,0.3023255813953488,0.3482142857142857,0.3236514522821577,112.0
neutral,0.36551724137931035,0.45689655172413796,0.4061302681992337,116.0
micro avg,0.557311320754717,0.5994419076610857,0.5776093864580787,3942.0
macro avg,0.5599313175086891,0.5784565797017173,0.5622826469518921,3942.0
weighted avg,0.586936634406955,0.5994419076610857,0.5862502293814441,3942.0
samples avg,0.5397574123989219,0.618013223673601,0.5353859976501485,3942.0
