class,precision,recall,f1-score,support
amusement,0.7383419689119171,0.7620320855614974,0.75,374.0
excitement,0.379746835443038,0.6122448979591837,0.46875,98.0
joy,0.6121212121212121,0.4950980392156863,0.5474254742547425,204.0
love,0.773109243697479,0.6433566433566433,0.7022900763358778,143.0
desire,0.4017094017094017,0.5875,0.47715736040609136,80.0
optimism,0.6602564102564102,0.7253521126760564,0.6912751677852349,142.0
caring,0.6785714285714286,0.5066666666666667,0.5801526717557252,150.0
pride,0.8275862068965517,0.5581395348837209,0.6666666666666666,86.0
admiration,0.4276315789473684,0.6435643564356436,0.5138339920948617,101.0
gratitude,0.9431818181818182,0.7685185185185185,0.8469387755102041,108.0
relief,0.34951456310679613,0.6,0.44171779141104295,60.0
approval,0.6666666666666666,0.5739130434782609,0.616822429906542,115.0
realization,0.31851851851851853,0.45263157894736844,0.3739130434782609,95.0
surprise,0.5405405405405406,0.47058823529411764,0.5031446540880503,85.0
curiosity,0.6410256410256411,0.75,0.6912442396313364,100.0
confusion,0.3142857142857143,0.5238095238095238,0.39285714285714285,84.0
fear,0.591304347826087,0.6938775510204082,0.6384976525821596,98.0
nervousness,0.4260869565217391,0.5104166666666666,0.46445497630331756,96.0
remorse,0.6170212765957447,0.6666666666666666,0.6408839779005525,87.0
embarrassment,0.7788461538461539,0.7570093457943925,0.7677725118483413,107.0
disappointment,0.38125,0.6192893401015228,0.47195357833655704,197.0
sadness,0.7298850574712644,0.736231884057971,0.733044733044733,345.0
grief,0.5192307692307693,0.627906976744186,0.5684210526315789,86.0
disgust,0.4696969696969697,0.4397163120567376,0.4542124542124542,141.0
anger,0.5363636363636364,0.6243386243386243,0.5770171149144254,189.0
annoyance,0.5233853006681515,0.685131195335277,0.5934343434343434,343.0
disapproval,0.26108374384236455,0.4732142857142857,0.33650793650793653,112.0
neutral,0.3798449612403101,0.4224137931034483,0.4,116.0
micro avg,0.5467641843971631,0.6258244545915779,0.5836290513366453,3942.0
macro avg,0.5531002472208463,0.604629567085824,0.5682282077820779,3942.0
weighted avg,0.5796291270424471,0.6258244545915779,0.5938642748154043,3942.0
samples avg,0.5506300827055545,0.6450491856152233,0.554330330745425,3942.0
