class,precision,recall,f1-score,support
amusement,0.8028571428571428,0.7513368983957219,0.7762430939226519,374.0
excitement,0.5333333333333333,0.4897959183673469,0.5106382978723404,98.0
joy,0.7265625,0.45588235294117646,0.5602409638554217,204.0
love,0.7241379310344828,0.7342657342657343,0.7291666666666666,143.0
desire,0.5316455696202531,0.525,0.5283018867924528,80.0
optimism,0.6792452830188679,0.7605633802816901,0.717607973421927,142.0
caring,0.5854922279792746,0.7533333333333333,0.6588921282798834,150.0
pride,0.8870967741935484,0.6395348837209303,0.7432432432432432,86.0
admiration,0.7014925373134329,0.46534653465346537,0.5595238095238095,101.0
gratitude,0.8050847457627118,0.8796296296296297,0.8407079646017699,108.0
relief,0.5428571428571428,0.6333333333333333,0.5846153846153846,60.0
approval,0.69,0.6,0.641860465116279,115.0
realization,0.38524590163934425,0.49473684210526314,0.43317972350230416,95.0
surprise,0.6375,0.6,0.6181818181818182,85.0
curiosity,0.6915887850467289,0.74,0.714975845410628,100.0
confusion,0.4523809523809524,0.4523809523809524,0.4523809523809524,84.0
fear,0.6826923076923077,0.7244897959183674,0.7029702970297029,98.0
nervousness,0.4948453608247423,0.5,0.49740932642487046,96.0
remorse,0.6372549019607843,0.7471264367816092,0.6878306878306878,87.0
embarrassment,0.8762886597938144,0.794392523364486,0.8333333333333334,107.0
disappointment,0.461864406779661,0.5532994923857868,0.5034642032332564,197.0
sadness,0.7078651685393258,0.7304347826086957,0.7189728958630528,345.0
grief,0.6470588235294118,0.7674418604651163,0.7021276595744681,86.0
disgust,0.48663101604278075,0.6453900709219859,0.5548780487804879,141.0
anger,0.6009174311926605,0.6931216931216931,0.6437346437346437,189.0
annoyance,0.6005089058524173,0.6880466472303207,0.6413043478260869,343.0
disapproval,0.3062015503875969,0.7053571428571429,0.42702702702702705,112.0
neutral,0.37037037037037035,0.3448275862068966,0.35714285714285715,116.0
micro avg,0.6118233618233618,0.6537290715372908,0.6320824135393672,3942.0
macro avg,0.6160364189286819,0.638180993759667,0.6192841266138575,3942.0
weighted avg,0.6329152116564711,0.6537290715372908,0.6361281265912292,3942.0
samples avg,0.632865666827931,0.6706579583938075,0.6203922562413128,3942.0
