class,precision,recall,f1-score,support
amusement,0.8039772727272727,0.7566844919786097,0.7796143250688705,374.0
excitement,0.647887323943662,0.46938775510204084,0.5443786982248521,98.0
joy,0.6372549019607843,0.6372549019607843,0.6372549019607843,204.0
love,0.69375,0.7762237762237763,0.7326732673267327,143.0
desire,0.5616438356164384,0.5125,0.5359477124183006,80.0
optimism,0.75,0.7183098591549296,0.7338129496402878,142.0
caring,0.5786802030456852,0.76,0.6570605187319885,150.0
pride,0.8529411764705882,0.6744186046511628,0.7532467532467533,86.0
admiration,0.5038759689922481,0.6435643564356436,0.5652173913043478,101.0
gratitude,0.8067226890756303,0.8888888888888888,0.8458149779735683,108.0
relief,0.5223880597014925,0.5833333333333334,0.5511811023622047,60.0
approval,0.6422764227642277,0.6869565217391305,0.6638655462184874,115.0
realization,0.3576158940397351,0.5684210526315789,0.43902439024390244,95.0
surprise,0.4878048780487805,0.7058823529411765,0.5769230769230769,85.0
curiosity,0.6637168141592921,0.75,0.704225352112676,100.0
confusion,0.4935064935064935,0.4523809523809524,0.4720496894409938,84.0
fear,0.6576576576576577,0.7448979591836735,0.6985645933014354,98.0
nervousness,0.5052631578947369,0.5,0.5026178010471204,96.0
remorse,0.7702702702702703,0.6551724137931034,0.7080745341614907,87.0
embarrassment,0.7307692307692307,0.8878504672897196,0.8016877637130801,107.0
disappointment,0.4430379746835443,0.5329949238578681,0.4838709677419355,197.0
sadness,0.7507246376811594,0.7507246376811594,0.7507246376811594,345.0
grief,0.7532467532467533,0.6744186046511628,0.7116564417177914,86.0
disgust,0.4463276836158192,0.5602836879432624,0.4968553459119497,141.0
anger,0.6179245283018868,0.6931216931216931,0.6533665835411472,189.0
annoyance,0.5796766743648961,0.7317784256559767,0.6469072164948454,343.0
disapproval,0.35714285714285715,0.5803571428571429,0.4421768707482993,112.0
neutral,0.4166666666666667,0.3448275862068966,0.37735849056603776,116.0
micro avg,0.6112650046168052,0.671740233384069,0.6400773507372493,3942.0
macro avg,0.6083125009409932,0.6514512282022739,0.6237911392794329,3942.0
weighted avg,0.6259666518623287,0.671740233384069,0.6436153663401761,3942.0
samples avg,0.6311562651185292,0.6871714239638769,0.6268608749740825,3942.0
