class,precision,recall,f1-score,support
amusement,0.8005698005698005,0.7513368983957219,0.7751724137931034,374.0
excitement,0.6233766233766234,0.4897959183673469,0.5485714285714286,98.0
joy,0.6373626373626373,0.5686274509803921,0.6010362694300518,204.0
love,0.7391304347826086,0.7132867132867133,0.7259786476868327,143.0
desire,0.3900709219858156,0.6875,0.497737556561086,80.0
optimism,0.7596899224806202,0.6901408450704225,0.7232472324723247,142.0
caring,0.7034482758620689,0.68,0.6915254237288135,150.0
pride,0.8870967741935484,0.6395348837209303,0.7432432432432432,86.0
admiration,0.5483870967741935,0.6732673267326733,0.6044444444444445,101.0
gratitude,0.8440366972477065,0.8518518518518519,0.847926267281106,108.0
relief,0.47126436781609193,0.6833333333333333,0.5578231292517006,60.0
approval,0.6528925619834711,0.6869565217391305,0.6694915254237288,115.0
realization,0.4931506849315068,0.37894736842105264,0.42857142857142855,95.0
surprise,0.6233766233766234,0.5647058823529412,0.5925925925925926,85.0
curiosity,0.6171875,0.79,0.6929824561403509,100.0
confusion,0.4875,0.4642857142857143,0.47560975609756095,84.0
fear,0.6989247311827957,0.6632653061224489,0.680628272251309,98.0
nervousness,0.6075949367088608,0.5,0.5485714285714286,96.0
remorse,0.75,0.7241379310344828,0.7368421052631579,87.0
embarrassment,0.7578125,0.9065420560747663,0.825531914893617,107.0
disappointment,0.4628099173553719,0.5685279187817259,0.510250569476082,197.0
sadness,0.7420289855072464,0.7420289855072464,0.7420289855072464,345.0
grief,0.5641025641025641,0.7674418604651163,0.6502463054187192,86.0
disgust,0.47368421052631576,0.574468085106383,0.5192307692307693,141.0
anger,0.6428571428571429,0.6666666666666666,0.6545454545454545,189.0
annoyance,0.6091127098321343,0.7405247813411079,0.6684210526315789,343.0
disapproval,0.35585585585585583,0.7053571428571429,0.47305389221556887,112.0
neutral,0.42718446601941745,0.3793103448275862,0.4018264840182648,116.0
micro avg,0.623075100687041,0.6671740233384069,0.6443709420556168,3942.0
macro avg,0.6203753193818223,0.6518514924043892,0.6281118231897498,3942.0
weighted avg,0.6405347368399353,0.6671740233384069,0.6478218521882422,3942.0
samples avg,0.645145944202548,0.6868247056926301,0.6346138487647922,3942.0
