class,precision,recall,f1-score,support
amusement,0.8219584569732937,0.7406417112299465,0.7791842475386779,374.0
excitement,0.6571428571428571,0.46938775510204084,0.5476190476190477,98.0
joy,0.695906432748538,0.5833333333333334,0.6346666666666667,204.0
love,0.7291666666666666,0.7342657342657343,0.7317073170731707,143.0
desire,0.4666666666666667,0.6125,0.5297297297297298,80.0
optimism,0.75,0.7183098591549296,0.7338129496402878,142.0
caring,0.704225352112676,0.6666666666666666,0.684931506849315,150.0
pride,0.9137931034482759,0.6162790697674418,0.7361111111111112,86.0
admiration,0.5223880597014925,0.693069306930693,0.5957446808510638,101.0
gratitude,0.8151260504201681,0.8981481481481481,0.8546255506607929,108.0
relief,0.5285714285714286,0.6166666666666667,0.5692307692307692,60.0
approval,0.6259541984732825,0.7130434782608696,0.6666666666666666,115.0
realization,0.4666666666666667,0.4421052631578947,0.4540540540540541,95.0
surprise,0.48739495798319327,0.6823529411764706,0.5686274509803921,85.0
curiosity,0.6434108527131783,0.83,0.7248908296943232,100.0
confusion,0.5538461538461539,0.42857142857142855,0.48322147651006714,84.0
fear,0.696969696969697,0.7040816326530612,0.700507614213198,98.0
nervousness,0.5866666666666667,0.4583333333333333,0.5146198830409356,96.0
remorse,0.75,0.6896551724137931,0.718562874251497,87.0
embarrassment,0.7559055118110236,0.897196261682243,0.8205128205128205,107.0
disappointment,0.4583333333333333,0.5583756345177665,0.5034324942791762,197.0
sadness,0.7413793103448276,0.7478260869565218,0.7445887445887446,345.0
grief,0.7671232876712328,0.6511627906976745,0.7044025157232704,86.0
disgust,0.4405940594059406,0.6312056737588653,0.5189504373177842,141.0
anger,0.5408560311284046,0.7354497354497355,0.6233183856502242,189.0
annoyance,0.6227848101265823,0.717201166180758,0.6666666666666666,343.0
disapproval,0.4046242774566474,0.625,0.49122807017543857,112.0
neutral,0.38738738738738737,0.3706896551724138,0.3788546255506608,116.0
